channel,h,var,coef,se,p,n
G,-2,M_z,-0.6724993802963475,0.44127354213950476,0.13003558856343395,2794
G,-2,MxW_F,-0.803356167446365,0.35011464447449536,0.023426614305391648,2794
G,-2,MxW_T,-0.42034382974288087,0.48468060499637744,0.3874616794458906,2794
G,-2,MxW_I,0.0770587968926903,0.2675611204395069,0.7738202994289439,2794
G,-2,W_F,-2.1947834262381245,0.5300829407748828,6.328076437157776e-05,2794
G,-2,W_T,2.166337758425417,0.8063492796487045,0.008200118812833048,2794
G,-2,W_I,-1.0094107664755088,0.48579287529371284,0.039768689342040434,2794
G,-2,infl_z,-0.43414379083451904,0.419334506571503,0.3025200522152759,2794
G,-2,gov_eff_z,-1.3287095090451002,1.1877334367395302,0.2654161903938349,2794
G,-1,M_z,-0.38867196259418907,0.22583016782388327,0.08771028420856326,2901
G,-1,MxW_F,-0.34495678664295737,0.1570116748502648,0.02986303098863237,2901
G,-1,MxW_T,-0.15802469962958207,0.23927577292909302,0.5101936769803825,2901
G,-1,MxW_I,0.05252736169729995,0.13378195394751444,0.695258456917419,2901
G,-1,W_F,-0.9801916625681003,0.25062856323503147,0.00014997576144067562,2901
G,-1,W_T,1.679674511526524,0.38007816760058927,2.123503061249503e-05,2901
G,-1,W_I,-0.5571782986747302,0.22012281436860248,0.01260716399448998,2901
G,-1,infl_z,-0.5278044910163553,0.18847312838470476,0.00591512977363888,2901
G,-1,gov_eff_z,-0.7783681164837548,0.5541273000039978,0.1625983762578005,2901
G,0,M_z,-0.6054906686252429,0.20087302468863813,0.0031196641937200047,2901
G,0,MxW_F,-0.24042737183831886,0.11714091511381827,0.04221205382687017,2901
G,0,MxW_T,-0.06423779663857937,0.2752754723662676,0.8158649623630313,2901
G,0,MxW_I,0.144016137755344,0.1365821249319467,0.29372044199175523,2901
G,0,W_F,-0.475114779089646,0.2307115393356101,0.041537580693957674,2901
G,0,W_T,2.093213044971335,0.40152886232604784,7.452816130218592e-07,2901
G,0,W_I,-0.42929741606100824,0.18698984894223844,0.023350897874447635,2901
G,0,infl_z,-0.9082613808095756,0.17635792505928086,9.841219090775298e-07,2901
G,0,gov_eff_z,-0.6301488816928904,0.39848102171739075,0.11631883296978186,2901
G,0,growth_lag,0.12195666213016329,0.07497701413872279,0.10634313722298623,2901
G,1,M_z,-1.2886011305158749,0.43438339323794173,0.0036096301560844734,2798
G,1,MxW_F,-0.4739016179248024,0.17373236307920986,0.007294573758261388,2798
G,1,MxW_T,0.40989581445805434,0.5190818961814931,0.43122441188596977,2798
G,1,MxW_I,0.3231294091146382,0.2810254637399529,0.25241210458139984,2798
G,1,W_F,-0.4114774111257179,0.444253988089138,0.3561159071250726,2798
G,1,W_T,4.678405543452824,0.8110409830486432,5.928603214973858e-08,2798
G,1,W_I,-0.8727715399742417,0.4162193782194671,0.03801765139938831,2798
G,1,infl_z,-1.2661273472372394,0.20697100017274986,1.1273371675556848e-08,2798
G,1,gov_eff_z,-1.4855688226325792,0.8568786832965394,0.08543733849542737,2798
G,1,growth_lag,0.1133565654965965,0.10038453403597383,0.26096601212583026,2798
G,2,M_z,-1.65504145136547,0.6569610472352354,0.013022215351125186,2678
G,2,MxW_F,-0.8069437007250712,0.25357755309943314,0.0018439790617775726,2678
G,2,MxW_T,0.7819220385370163,0.8683727747590216,0.3696149353039468,2678
G,2,MxW_I,0.38123702929764225,0.42754674324196695,0.37427501338352465,2678
G,2,W_F,-0.2494916069348776,0.5535485904563769,0.6529771622391276,2678
G,2,W_T,6.778069081958001,1.3310450789468948,1.267846128432726e-06,2678
G,2,W_I,-1.3038143240947917,0.6308821893726166,0.0408316512263188,2678
G,2,infl_z,-1.111287807280313,0.28101320142003855,0.00012760854889140678,2678
G,2,gov_eff_z,-2.471220066245367,1.3251425100743368,0.06454449625509678,2678
G,2,growth_lag,0.10513687678579531,0.12299221109576175,0.3942831768369168,2678
G,3,M_z,-1.7564009310764135,0.8726656926966979,0.04629651251435882,2557
G,3,MxW_F,-1.184446535991355,0.329250620159099,0.00046139649142836305,2557
G,3,MxW_T,1.0994090741803761,1.1213897153009151,0.32878303782133017,2557
G,3,MxW_I,0.22309981712850258,0.5648686528213819,0.6935464718959895,2557
G,3,W_F,0.03368668417508802,0.5879307958965165,0.9544000818165908,2557
G,3,W_T,8.691849971495353,1.7747135214420318,2.9382236094703897e-06,2557
G,3,W_I,-1.7987119233897868,0.8541561200916777,0.037219317761173314,2557
G,3,infl_z,-0.9592625082797386,0.4301102409426854,0.027513685932539323,2557
G,3,gov_eff_z,-3.9565244809611357,1.745863056973853,0.02515672790604641,2557
G,3,growth_lag,0.15116866593702072,0.13007269525863047,0.2473740802085758,2557
G,4,M_z,-1.5843949190232218,1.1015227132461338,0.1528287325973678,2436
G,4,MxW_F,-1.4384204800973783,0.4401157107073743,0.0013975278760097508,2436
G,4,MxW_T,1.0810647892509608,1.407470704136892,0.4438820630977326,2436
G,4,MxW_I,-0.12573000206633508,0.7264197912869974,0.8628671314512846,2436
G,4,W_F,0.36623124428956855,0.6481739660921669,0.5730728247062002,2436
G,4,W_T,10.118983854674244,2.1821817007024316,8.766033174611865e-06,2436
G,4,W_I,-1.958767871114285,1.0626071440619191,0.06764506214733952,2436
G,4,infl_z,-0.7587490664618897,0.6070344778199428,0.21366113254634622,2436
G,4,gov_eff_z,-5.457896620335985,2.1537093238710967,0.012506134570029531,2436
G,4,growth_lag,0.19227772023967551,0.14518369218005314,0.1877947759903482,2436
N,-2,M_z,-1.738847138285746,1.4431591157535062,0.23063671660613871,2563
N,-2,MxW_F,-1.397247668406926,0.8038655999132954,0.08476915742089781,2563
