q,coef,se,lo,hi,n
0.1,-1.4683916146245117,0.2587244077898189,-1.975677551775692,-0.9611056774733314,3147
0.25,-0.9808347434983844,0.1385237676724184,-1.252440966899238,-0.7092285200975307,3147
0.5,-0.8787628156956746,0.08866457138007344,-1.0526091511414881,-0.7049164802498612,3147
0.75,-0.8547956389095372,0.11206221632576802,-1.0745181881412937,-0.6350730896777808,3147
0.9,-0.5566825538932898,0.22113843625053878,-0.9902729516134523,-0.12309215617312724,3147
