q,coef,se,lo,hi,n,countries,bootstrap_reps,h
0.1,-0.7127528956738108,0.7019155258034755,-1.6832997755717052,0.613841636894525,2086,135,399,1
0.25,-0.6126912754854038,0.6051120035658886,-1.5801695827753988,0.4439194843500926,2086,135,399,1
0.5,-0.5466775903579448,0.5858794776609799,-1.485187938841169,0.4444913343840613,2086,135,399,1
0.75,-0.6518367277170642,0.6080583161410714,-1.5766897711089591,0.3936401388691111,2086,135,399,1
0.9,-0.8178271229429416,0.6063882493092075,-1.8062157602757276,0.21017326944309364,2086,135,399,1
