estimator,true,mean,bias,sd,rmse
rho_hat,0.85,0.7442413752552767,-0.1057586247447233,0.013006972159064002,0.10655149987690521
rho_bc,0.85,0.8169180992242465,-0.03308190077575346,0.013548929332358335,0.035736085090000695
beta_hat,-0.4,-0.39652847001027736,0.003471529989722666,0.11164014556378944,0.11141479260612623
phi_hat,-0.5,-0.4973788947463096,0.0026211052536904145,0.04906294721340526,0.04901027563756388
