q0.1,q0.25,q0.5,q0.75,q0.9
-0.496807366069504,-0.504338330283769,-0.23851447749509838,-0.2938987047456475,-0.36442296368535193
-0.5020816479300014,-0.2887472135656581,-0.31972764831175005,-0.18189837743986778,-0.3144821375053913
-1.3515664543978774,-1.3227571496029404,-1.5633765976783927,-1.6065538180888554,-2.082370829256562
-0.6336482889463035,-0.24495307189682267,-0.3486054979101401,-0.47587410420837495,-0.8023327413973087
-1.287329900872273,-1.3697492408273493,-1.4244022206053941,-1.2511699783664467,-1.341912113972493
-1.5276817614384883,-1.1905412850257573,-1.5229064553000267,-1.3619948315671382,-1.5608013434786698
0.1440512031604128,0.14854685101780848,0.11055546384631884,-0.14811765763234463,-0.06859862859477828
0.13781774564948607,-0.0517710835237242,-0.03766674071983473,-0.1862459408029948,-0.5178640127525911
1.113002480758923,0.8098350863605038,0.9154179720922678,0.8253413351673744,0.44722936094178645
-0.34067820203796345,-0.6231525251737723,-0.3456372590770569,-0.4772809403962995,-0.6267828421491702
-0.6844158709656192,-0.7183071719875997,-0.5964532579655358,-0.7106083128236841,-1.0939732639583637
-1.0843403991808633,-0.8242734028718294,-0.8136920121476425,-0.7633663689178674,-0.9067815698385053
-0.6849784088474995,-0.6106550378709478,-0.44100103595885237,-0.18514941482913158,-0.3001193554700133
-1.2686630745279521,-0.7595748586115707,-0.5974219426788819,-0.7319890483846924,-1.0395422790937725
-0.9380541389927055,-1.0133876751162936,-0.9511959405699936,-0.8876975566991959,-1.2293924964254916
-1.0331314284670285,-1.3224740724475383,-0.9227123322845944,-0.9093889541267459,-1.264651000131551
-1.5738626825317832,-1.5079787330138712,-1.1450990145061855,-1.542068532873011,-1.6114961575024693
-0.8291866306118025,-0.5456604742830882,-0.6315546540877607,-0.5791008186626797,-0.9729453610266486
-0.9405230072680701,-0.8967845137066981,-0.6294048241040071,-0.4350290741637405,-0.6863748822373945
-0.5644374333307699,-0.2728389426461355,0.08724102628132122,-0.024797440615255403,-0.3953008425503706
-0.7486314178756374,-0.9989582180079197,-1.01114527231674,-1.1856744041359044,-1.1649683377355926
-0.8741620427487794,-1.0889024942239198,-1.0210266461816178,-1.5193979434681166,-1.7877425439544674
-1.494067326922215,-1.366820560090884,-1.443761111644485,-1.813943244502732,-1.8257495423153314
-0.5404256816671833,-0.3193260895601527,-0.281356546699105,-0.2557598721730473,-0.19740524213059313
-0.9031140340439029,-1.0510675509780074,-1.1111540581728838,-1.099989898496201,-1.1304768992976535
-0.19006947843854008,-0.6799034336144983,-0.6523088731495901,-1.0311191412906344,-1.3014103959721843
-0.6479881595560808,-0.7375374679253756,-0.3170853350836472,-0.511312710343561,-0.5081040270301981
-0.6129754814674481,-0.4328160215843969,-0.35650452336525984,-0.8265167545705137,-1.1123640990082682
0.6870037380660596,0.7158293236221677,0.6268406124043934,0.5912047597871526,0.4622782117484218
-0.6715855325264014,-0.6405460285450033,-0.3945928835031947,-0.4277685897792117,-0.4761567486084927
-1.7996403775456147,-1.3843715867572708,-1.302455638476395,-1.8256643410496673,-1.86029331979291
-1.415556256048838,-1.3435804717270539,-1.2483844495882381,-1.358798674043934,-1.7521940684081085
0.6197924814163582,0.03797167513108942,0.04613848566479321,-0.27972108786046984,-0.7940938545712505
-0.18965035637956348,0.058078090510701945,0.10661398926409554,-0.004021170049791221,-0.10668719992846265
-0.3356141907646222,-0.4955552013222474,0.07157289229090952,0.09498759238594597,0.03964325143564499
0.08819946068642812,0.3247621782250324,0.26642931236586886,0.4305204633890121,0.2747944437107014
-0.23112409523595248,-0.29428650441039156,-0.3950303353813958,-0.6308488113909319,-0.8690219318731061
-0.8184991532323601,-0.5301223938015613,-0.3824041317434081,-0.12927865506884384,-0.32287070469984996
0.019018242799116552,0.09876773447215956,0.06474999561325549,0.1474145433373537,-0.4390882038649625
-1.0439336200007656,-0.9693243265745836,-0.9623101758645286,-1.207026018462207,-1.1939652671629737
-0.20290569233896502,-0.226666211084235,-0.16803397046667645,-0.4685832674662998,-0.8122928918887972
-1.0965197735299266,-1.0134703111457088,-0.7775812756996611,-0.9566897312078289,-0.9710487281744924
-0.7614631242554764,-0.7298468128680808,-0.624702603010873,-0.7312162586730346,-1.157222159921247
-1.5029980388594653,-1.4947867021922427,-1.190544489717323,-1.0270219631541102,-1.3319603070955044
-0.5558220523080534,-0.551621220604514,-0.5389998191438543,-0.7563499994917366,-1.1758831254397863
-1.4992148777550809,-1.395306418039464,-1.0613630378752983,-1.312512921561073,-1.6810290904772118
-0.9861670685425369,-0.566235598758568,-0.4598136734266106,-0.40051219342865324,-0.35895424265392745
0.06069301551618928,0.28810752604233675,0.36531090962884516,0.026579867466038912,-0.08195988569721063
-0.6570940118035511,-0.8563076668950995,-0.8735251030286635,-0.7706886098848384,-1.3052411105858335
-0.7236739947970292,-1.051510640444053,-0.9267675039037238,-1.0608811768034407,-1.4172564512364694
0.29456508817913496,0.10630274707510563,0.34776509718385296,0.06394214081778694,-0.18774346640851813
-0.2851981888273363,-0.51290883223712,-0.2967988873961749,-0.2894393945986926,-0.44198072281728323
-1.6540744098837457,-1.3430081543018164,-1.3403038791904562,-1.308828959381975,-1.3495974469037124
-1.3695821297053874,-0.9080524816125675,-0.927470257493241,-0.9266511965853156,-1.0820513276861565
0.43154269339093776,0.3437509116611194,0.4948930096516304,0.385755427346303,0.24559026055095487
-0.3039542876369153,-0.29612254627611106,-0.2825327881694008,-0.5122760448744886,-0.8481559709722821
0.2418065317007343,-0.20334838889634535,0.04265506594830484,-0.310159355932611,-0.5316079376016308
-0.7583210518811178,-0.9264415566138292,-0.9555761177080039,-1.4490715869111956,-1.5800996970101076
-1.4372019525486206,-0.9604393521810614,-0.6351740548548176,-0.8666018126699156,-0.9411243502853561
-0.26402707577083223,-0.5051932306251916,-0.5280956882645186,-0.6447313018558581,-0.540927430855887
-1.209873728001082,-1.1839752718208858,-0.8499825507053383,-0.893149948836617,-0.8426474135407519
0.5575231738616179,0.11470418693007729,0.07986108593415032,-0.32559497406819515,-0.7841049956192954
0.8774127222259073,0.9404982328324358,0.9894907462598286,0.7293155785227274,0.3639377790137678
-1.1653413407218454,-1.0701620749857959,-0.7574618075433592,-0.8047529099565115,-0.8173313374971567
0.18604325972811425,-0.20177175266700503,-0.15447704707630397,-0.5865515328213888,-0.6123333409230188
-0.911842354071848,-0.7094865429234659,-0.6706455695210365,-0.7158632482801672,-1.003833160282784
-1.3562823012925909,-1.4740090332832947,-1.1794755200378007,-1.1916325365057185,-1.5329548903184587
-0.40004425892985973,-0.5226194103764598,-0.23737277198998216,-0.18925941066099428,-0.7266727344084604
0.5282678875178403,0.12401451620160465,0.45030957806495864,0.39016970817136093,0.060978529959413455
-0.3950869240757878,-0.5890640905426107,-0.7368768714106605,-1.057735910649877,-1.409756370188683
-1.6558315802885106,-1.3647120285808476,-1.46794525040834,-1.862757393572305,-1.7721725536419524
-0.12003736681564263,-0.11908603992920948,-0.20900326699548658,-0.4974866738162335,-0.6325835555089419
0.04888148007276131,0.12447911965838498,0.2867087396491184,0.32831284145115763,0.16505879026652504
-0.9651871971308359,-0.5309753677923584,-0.21916401907382568,-0.35652830792510143,-0.5410518366241022
