lever,effort,dD
rho,0.0,2.8650427759801422
rho,0.024999999999999998,32.019537196782736
rho,0.049999999999999996,56.75846080608573
rho,0.075,77.76647485133677
rho,0.09999999999999999,95.65101055386813
rho,0.12499999999999999,110.93575497486094
rho,0.15,124.06380558751225
rho,0.175,135.40545772375026
rho,0.19999999999999998,145.2676286615386
rho,0.22499999999999998,153.90330191893563
rho,0.24999999999999997,161.52021901536432
rho,0.27499999999999997,168.28852247178818
rho,0.3,174.34730261199724
c,0.0,2.8650427759801422
c,0.024999999999999998,5.027269454728433
c,0.049999999999999996,7.1861300238642905
c,0.075,9.341604462159502
c,0.09999999999999999,11.49367282670266
c,0.12499999999999999,13.642315253598003
c,0.15,15.787511958660161
c,0.175,17.929243238104952
c,0.19999999999999998,20.067489469236367
c,0.22499999999999998,22.202231111129077
c,0.24999999999999997,24.333448705306992
c,0.27499999999999997,26.461122876417186
c,0.3,28.585234332900377
sigma,0.0,2.8650427759801422
sigma,0.024999999999999998,7.213308138349561
sigma,0.049999999999999996,11.498425929371315
sigma,0.075,15.717654013971549
sigma,0.09999999999999999,19.868211195865403
sigma,0.12499999999999999,23.947280137485826
sigma,0.15,27.952010585544596
sigma,0.175,31.879522911894764
sigma,0.19999999999999998,35.72691197816565
sigma,0.22499999999999998,39.49125133123608
sigma,0.24999999999999997,43.16959773498732
sigma,0.27499999999999997,46.75899604192535
sigma,0.3,50.25648440617321
