metric,model,loss,n,improvement_pct,lo,hi,target_years
pinball_0.1,benchmark,1.2894782485585747,1111,0.0,-5.441824120504972,1.2880372898987353,10
pinball_0.1,disinformation,1.330938834815905,1111,-3.2152993897862414,-5.441824120504972,1.2880372898987353,10
pinball_0.5,benchmark,1.5348202463426555,1111,0.0,-1.5723631511618708,0.4140588716254343,10
pinball_0.5,disinformation,1.5411044806653986,1111,-0.40944432012268717,-1.5723631511618708,0.4140588716254343,10
pinball_0.9,benchmark,0.8836971586559017,1111,0.0,-5.043090147810198,-0.5095115112271744,10
pinball_0.9,disinformation,0.9040038618957522,1111,-2.297925600523243,-5.043090147810198,-0.5095115112271744,10
squared_error,benchmark,23.440366128327263,1111,0.0,-0.5309097952171693,0.42783892764227116,10
squared_error,disinformation,23.474296179169915,1111,-0.14475051565703279,-0.5309097952171693,0.42783892764227116,10
